Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790356475194,4,4,4,4,4,4,4,4,4,4,76.95221710205078,75.86911010742188,75.35070037841797,74.25921630859375,68.32987213134766,77.03778839111328,81.71875,50,0,0,100,0,0,100,NaN,50,0,14.260225296020508,25769803776,2147483648,14024261632,534773760
209,1790356475194,4,4,4,4,4,4,4,4,4,4,76.95221710205078,75.86911010742188,75.35070037841797,74.25921630859375,68.32987213134766,77.03778839111328,81.71875,0,100,50,NaN,0,0,100,100,NaN,100,14.260225296020508,25769803776,2147483648,14024261632,534773760
209,1790356475404,4,4,4,4,4,4,4,4,4,4,76.71712493896484,75.96017456054688,75.54204559326172,74.9588394165039,68.72721862792969,76.89382934570313,81.953125,23.809524536132813,55,10,30.000001907348633,18.18181800842285,5,89.47368621826172,90,84.21052551269531,84.21052551269531,14.260225296020508,25769803776,2147483648,14126563328,534773760
202,1790356475614,4,4,4,4,4,4,4,4,4,4,76.71712493896484,75.96017456054688,75.54204559326172,74.9588394165039,68.72721862792969,76.89382934570313,81.953125,40,15.000000953674316,20,19.047618865966797,15.789472579956055,4.761904716491699,90,89.47368621826172,90,89.47368621826172,14.260225296020508,25769803776,2147483648,14155710464,534773760
209,1790356475817,4,4,4,4,4,4,4,4,4,4,76.71712493896484,75.96017456054688,75.54204559326172,74.9588394165039,68.72721862792969,76.89382934570313,81.953125,40,5.263157844543457,15.000000953674316,21.052631378173828,25,5.263157844543457,89.47368621826172,88.8888931274414,89.47368621826172,84.21052551269531,12.551305770874023,25769803776,2147483648,14159970304,534773760
209,1790356476027,4,4,4,4,4,4,4,4,4,4,76.71712493896484,75.96017456054688,75.54204559326172,74.9588394165039,68.72721862792969,76.89382934570313,81.953125,26.3157901763916,28.571430206298828,15.000000953674316,23.809524536132813,9.523809432983398,14.285715103149414,90.47618865966797,89.47368621826172,85,85,12.551305770874023,25769803776,2147483648,14106755072,534773760
207,1790356476238,4,4,4,4,4,4,4,4,4,4,76.71712493896484,75.96017456054688,75.54204559326172,74.9588394165039,68.72721862792969,76.89382934570313,81.953125,33.333335876464844,15.000000953674316,10,25,10,25,88.23529815673828,90.90909576416016,83.33332824707031,89.47368621826172,12.551305770874023,25769803776,2147483648,14106755072,534773760
202,1790356476445,4,4,4,4,4,4,4,4,4,4,78.09081268310547,78.01892852783203,77.68624877929688,77.42981719970703,71.64104461669922,79.16573333740234,81.390625,42.85714340209961,57.142860412597656,57.142860412597656,42.85714340209961,42.85714340209961,33.333335876464844,80,90,78.94737243652344,73.68421173095703,12.551305770874023,25769803776,2147483648,14495203328,534773760
209,1790356476648,4,4,4,4,4,4,4,4,4,4,78.09081268310547,78.01892852783203,77.68624877929688,77.42981719970703,71.64104461669922,79.16573333740234,81.390625,70,30.000001907348633,78.94737243652344,40,28.571430206298828,35,83.33332824707031,73.68421173095703,72.22222137451172,50,12.551305770874023,25769803776,2147483648,14499250176,534773760
209,1790356476858,4,4,4,4,4,4,4,4,4,4,78.09081268310547,78.01892852783203,77.68624877929688,77.42981719970703,71.64104461669922,79.16573333740234,81.390625,47.619049072265625,66.66667175292969,42.85714340209961,19.047618865966797,60.000003814697266,45.45454788208008,77.77777862548828,72.22222137451172,68.42105102539063,57.142860412597656,9.385723114013672,25769803776,2147483648,14497611776,534773760
206,1790356477068,4,4,4,4,4,4,4,4,4,4,78.09081268310547,78.01892852783203,77.68624877929688,77.42981719970703,71.64104461669922,79.16573333740234,81.390625,40,50,59.09090805053711,47.619049072265625,25,35,80,75,70,50,9.385723114013672,25769803776,2147483648,14433140736,534773760
202,1790356477275,4,4,4,4,4,4,4,4,4,4,78.09081268310547,78.01892852783203,77.68624877929688,77.42981719970703,71.64104461669922,79.16573333740234,81.390625,42.85714340209961,38.095237731933594,60.000003814697266,10,40.90909194946289,19.047618865966797,75,72.22222137451172,63.15789031982422,52.6315803527832,9.385723114013672,25769803776,2147483648,14450163712,534773760
209,1790356477478,4,4,4,4,4,4,4,4,4,4,81.02201080322266,79.44830322265625,79.15941619873047,79.59494018554688,72.94364929199219,81.85193634033203,82.328125,10,52.38095474243164,9.523809432983398,47.619049072265625,52.6315803527832,47.619049072265625,77.77777862548828,78.94737243652344,68.42105102539063,50,9.385723114013672,25769803776,2147483648,14463565824,534773760
200,1790356477688,4,4,4,4,4,4,4,4,4,4,81.02201080322266,79.44830322265625,79.15941619873047,79.59494018554688,72.94364929199219,81.85193634033203,82.328125,28.571430206298828,76.19047546386719,19.047618865966797,9.523809432983398,45.45454788208008,28.571430206298828,80,72.22222137451172,68.42105102539063,50,9.385723114013672,25769803776,2147483648,14461534208,534773760
199,1790356477889,4,4,4,4,4,4,4,4,4,4,81.02201080322266,79.44830322265625,79.15941619873047,79.59494018554688,72.94364929199219,81.85193634033203,82.328125,70,100,0,5,30.000001907348633,5.263157844543457,76.47058868408203,73.68421173095703,66.66667175292969,50,16.548934936523438,25769803776,2147483648,14482505728,534773760
201,1790356478089,4,4,4,4,4,4,4,4,4,4,81.02201080322266,79.44830322265625,79.15941619873047,79.59494018554688,72.94364929199219,81.85193634033203,82.328125,60.000003814697266,42.105262756347656,80,0,0,25,78.94737243652344,73.68421173095703,66.66667175292969,47.36842346191406,16.548934936523438,25769803776,2147483648,14495842304,534773760
200,1790356478291,4,4,4,4,4,4,4,4,4,4,80.4533462524414,79.20003509521484,78.89988708496094,79.12174987792969,72.6104507446289,81.24097442626953,82.328125,66.66667175292969,57.142860412597656,15.000000953674316,10,35,38.095237731933594,83.33332824707031,77.77777862548828,68.42105102539063,50,16.548934936523438,25769803776,2147483648,14499725312,534773760
209,1790356478492,4,4,4,4,4,4,4,4,4,4,80.4533462524414,79.20003509521484,78.89988708496094,79.12174987792969,72.6104507446289,81.24097442626953,82.328125,89.47368621826172,5,55,14.285715103149414,35,10,78.94737243652344,72.22222137451172,66.66667175292969,50,16.548934936523438,25769803776,2147483648,14519894016,534773760
202,1790356478702,4,4,4,4,4,4,4,4,4,4,80.4533462524414,79.20003509521484,78.89988708496094,79.12174987792969,72.6104507446289,81.24097442626953,82.328125,95.45454406738281,85,9.523809432983398,15.000000953674316,14.285715103149414,5,77.77777862548828,75,68.42105102539063,50,16.548934936523438,25769803776,2147483648,14533705728,534773760
