Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790356203153,4,4,4,4,4,4,4,4,4,4,77.5161361694336,76.01288604736328,75.64163970947266,76.1770248413086,68.89219665527344,77.76268768310547,78.3125,NaN,0,0,0,0,0,100,100,100,50,14.253816604614258,25769803776,2147483648,13864255488,534773760
200,1790356203153,4,4,4,4,4,4,4,4,4,4,77.5161361694336,76.01288604736328,75.64163970947266,76.1770248413086,68.89219665527344,77.76268768310547,78.3125,0,0,0,0,NaN,0,100,100,100,NaN,14.253816604614258,25769803776,2147483648,13864255488,534773760
204,1790356203354,4,4,4,4,4,4,4,4,4,4,77.15542602539063,76.15164947509766,75.81468963623047,75.92399597167969,69.1861572265625,77.4776382446289,80.203125,17.647058486938477,10.526315689086914,0,4.761904716491699,0,0,88.8888931274414,88.8888931274414,88.8888931274414,84.21052551269531,14.253816604614258,25769803776,2147483648,13864255488,534773760
200,1790356203559,4,4,4,4,4,4,4,4,4,4,77.15542602539063,76.15164947509766,75.81468963623047,75.92399597167969,69.1861572265625,77.4776382446289,80.203125,5.882352828979492,0,0,0,0,4.761904716491699,94.73684692382813,89.47368621826172,83.33332824707031,89.47368621826172,14.253816604614258,25769803776,2147483648,14006796288,534773760
200,1790356203759,4,4,4,4,4,4,4,4,4,4,77.15542602539063,76.15164947509766,75.81468963623047,75.92399597167969,69.1861572265625,77.4776382446289,80.203125,5.882352828979492,5.263157844543457,0,0,0,4.761904716491699,90,89.47368621826172,89.47368621826172,88.8888931274414,14.253816604614258,25769803776,2147483648,14012104704,534773760
204,1790356203959,4,4,4,4,4,4,4,4,4,4,77.15542602539063,76.15164947509766,75.81468963623047,75.92399597167969,69.1861572265625,77.4776382446289,80.203125,16.666667938232422,0,4.761904716491699,0,4.761904716491699,0,100,83.33332824707031,88.8888931274414,83.33332824707031,12.663824081420898,25769803776,2147483648,14012104704,534773760
204,1790356204164,4,4,4,4,4,4,4,4,4,4,77.15542602539063,76.15164947509766,75.81468963623047,75.92399597167969,69.1861572265625,77.4776382446289,80.203125,5.882352828979492,5,0,0,0,0,100,88.8888931274414,85,84.21052551269531,12.663824081420898,25769803776,2147483648,14012104704,534773760
202,1790356204369,4,4,4,4,4,4,4,4,4,4,78.26204681396484,78.09014892578125,77.97953796386719,77.77391052246094,71.98487854003906,79.347900390625,82.09375,15.789472579956055,10,5,5,9.523809432983398,0,85,83.33332824707031,78.94737243652344,68.42105102539063,12.663824081420898,25769803776,2147483648,14012104704,534773760
204,1790356204572,4,4,4,4,4,4,4,4,4,4,78.26204681396484,78.09014892578125,77.97953796386719,77.77391052246094,71.98487854003906,79.347900390625,82.09375,35,42.85714340209961,61.904762268066406,70,40,38.095237731933594,83.33332824707031,73.68421173095703,70.5882339477539,55.55555725097656,12.663824081420898,25769803776,2147483648,14330707968,534773760
204,1790356204777,4,4,4,4,4,4,4,4,4,4,78.26204681396484,78.09014892578125,77.97953796386719,77.77391052246094,71.98487854003906,79.347900390625,82.09375,4.761904716491699,0,0,100,0,0,73.68421173095703,73.68421173095703,68.42105102539063,52.6315803527832,12.663824081420898,25769803776,2147483648,14330281984,534773760
