Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790355739296,4,4,4,4,4,4,4,4,4,4,86.85840606689453,87.94335174560547,87.92808532714844,86.00433349609375,82.54578399658203,88.95999908447266,91.015625,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,14.871721267700195,25769803776,2147483648,13698334720,534773760
203,1790355739296,4,4,4,4,4,4,4,4,4,4,86.85840606689453,87.94335174560547,87.92808532714844,86.00433349609375,82.54578399658203,88.95999908447266,91.015625,100,0,100,0,NaN,NaN,100,NaN,50,NaN,14.871721267700195,25769803776,2147483648,13698138112,534773760
204,1790355739501,4,4,4,4,4,4,4,4,4,4,86.85840606689453,87.94335174560547,87.92808532714844,86.00433349609375,82.54578399658203,88.95999908447266,91.015625,17.647058486938477,10,4.761904716491699,0,0,0,84.21052551269531,90,88.8888931274414,80,14.871721267700195,25769803776,2147483648,13809713152,534773760
201,1790355739705,4,4,4,4,4,4,4,4,4,4,86.85840606689453,87.94335174560547,87.92808532714844,86.00433349609375,82.54578399658203,88.95999908447266,91.015625,11.111111640930176,0,0,4.761904716491699,0,4.761904716491699,89.47368621826172,89.47368621826172,89.47368621826172,88.8888931274414,14.871721267700195,25769803776,2147483648,13809713152,534773760
204,1790355739907,4,4,4,4,4,4,4,4,4,4,86.85840606689453,87.94335174560547,87.92808532714844,86.00433349609375,82.54578399658203,88.95999908447266,91.015625,5.882352828979492,5,0,0,0,0,89.47368621826172,84.21052551269531,100,84.21052551269531,14.863561630249023,25769803776,2147483648,13809713152,534773760
204,1790355740111,4,4,4,4,4,4,4,4,4,4,86.85840606689453,87.94335174560547,87.92808532714844,86.00433349609375,82.54578399658203,88.95999908447266,91.015625,10.526315689086914,5,0,0,0,0,88.8888931274414,82.35294342041016,85.71428680419922,78.94737243652344,14.863561630249023,25769803776,2147483648,14125563904,534773760
204,1790355740317,4,4,4,4,4,4,4,4,4,4,87.26071166992188,86.9122085571289,87.00083923339844,86.34552001953125,81.61528778076172,89.2686538696289,93.359375,5,0,4.545454502105713,0,0,0,78.94737243652344,73.68421173095703,66.66667175292969,52.6315803527832,14.863561630249023,25769803776,2147483648,14125580288,534773760
204,1790355740522,4,4,4,4,4,4,4,4,4,4,87.26071166992188,86.9122085571289,87.00083923339844,86.34552001953125,81.61528778076172,89.2686538696289,93.359375,25,15.000000953674316,0,10,0,0,73.68421173095703,73.68421173095703,68.42105102539063,57.894737243652344,14.863561630249023,25769803776,2147483648,14135967744,534773760
199,1790355740727,4,4,4,4,4,4,4,4,4,4,87.26071166992188,86.9122085571289,87.00083923339844,86.34552001953125,81.61528778076172,89.2686538696289,93.359375,19.047618865966797,10,4.761904716491699,4.761904716491699,0,0,78.94737243652344,72.22222137451172,66.66667175292969,52.6315803527832,14.863561630249023,25769803776,2147483648,14137655296,534773760
200,1790355740927,4,4,4,4,4,4,4,4,4,4,87.26071166992188,86.9122085571289,87.00083923339844,86.34552001953125,81.61528778076172,89.2686538696289,93.359375,5,4.761904716491699,0,0,0,0,78.94737243652344,72.22222137451172,68.42105102539063,50,15.357278823852539,25769803776,2147483648,14125023232,534773760
203,1790355741128,4,4,4,4,4,4,4,4,4,4,87.26071166992188,86.9122085571289,87.00083923339844,86.34552001953125,81.61528778076172,89.2686538696289,93.359375,0,5,4.761904716491699,0,0,0,76.47058868408203,73.68421173095703,68.42105102539063,52.6315803527832,15.357278823852539,25769803776,2147483648,14085046272,534773760
201,1790355741332,4,4,4,4,4,4,4,4,4,4,86.7385025024414,84.10601043701172,83.84252166748047,84.99655151367188,77.84707641601563,87.45429229736328,88.4375,9.523809432983398,5,0,0,0,0,78.94737243652344,73.68421173095703,72.22222137451172,50,15.357278823852539,25769803776,2147483648,14085029888,534773760
201,1790355741534,4,4,4,4,4,4,4,4,4,4,86.7385025024414,84.10601043701172,83.84252166748047,84.99655151367188,77.84707641601563,87.45429229736328,88.4375,0,4.761904716491699,0,0,0,5,83.33332824707031,72.22222137451172,66.66667175292969,52.6315803527832,15.357278823852539,25769803776,2147483648,14085226496,534773760
200,1790355741736,4,4,4,4,4,4,4,4,4,4,86.7385025024414,84.10601043701172,83.84252166748047,84.99655151367188,77.84707641601563,87.45429229736328,88.4375,9.523809432983398,0,4.761904716491699,0,0,0,78.94737243652344,77.77777862548828,66.66667175292969,50,15.357278823852539,25769803776,2147483648,14085242880,534773760
204,1790355741937,4,4,4,4,4,4,4,4,4,4,86.7385025024414,84.10601043701172,83.84252166748047,84.99655151367188,77.84707641601563,87.45429229736328,88.4375,5,0,0,0,4.761904716491699,0,78.94737243652344,73.68421173095703,68.42105102539063,50,21.86209487915039,25769803776,2147483648,14074855424,534773760
