Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790356802291,4,4,4,4,4,4,4,4,4,4,74.62967681884766,73.38804626464844,73.0936050415039,71.88697814941406,66.18365478515625,74.47315979003906,79.59375,NaN,0,0,0,0,0,100,100,0,NaN,12.693891525268555,25769803776,2147483648,14294908928,534773760
204,1790356802291,4,4,4,4,4,4,4,4,4,4,74.62967681884766,73.38804626464844,73.0936050415039,71.88697814941406,66.18365478515625,74.47315979003906,79.59375,100,0,NaN,0,0,0,100,NaN,100,50,12.693891525268555,25769803776,2147483648,14295252992,534773760
203,1790356802496,4,4,4,4,4,4,4,4,4,4,74.5085678100586,73.58822631835938,73.42759704589844,72.66197967529297,66.54055786132813,74.44923400878906,80.0625,16.666667938232422,10,4.761904716491699,0,0,4.761904716491699,90,85,88.8888931274414,88.8888931274414,12.693891525268555,25769803776,2147483648,14395998208,534773760
199,1790356802700,4,4,4,4,4,4,4,4,4,4,74.5085678100586,73.58822631835938,73.42759704589844,72.66197967529297,66.54055786132813,74.44923400878906,80.0625,5.882352828979492,5,0,4.545454502105713,0,0,94.44444274902344,89.47368621826172,84.21052551269531,89.47368621826172,12.693891525268555,25769803776,2147483648,14426882048,534773760
204,1790356802900,4,4,4,4,4,4,4,4,4,4,74.5085678100586,73.58822631835938,73.42759704589844,72.66197967529297,66.54055786132813,74.44923400878906,80.0625,6.25,0,0,0,0,0,89.47368621826172,94.11764526367188,88.8888931274414,84.21052551269531,12.123506546020508,25769803776,2147483648,14430650368,534773760
204,1790356803105,4,4,4,4,4,4,4,4,4,4,74.5085678100586,73.58822631835938,73.42759704589844,72.66197967529297,66.54055786132813,74.44923400878906,80.0625,15.789472579956055,5,0,0,4.761904716491699,0,89.47368621826172,85,95,83.33332824707031,12.123506546020508,25769803776,2147483648,14420148224,534773760
204,1790356803310,4,4,4,4,4,4,4,4,4,4,74.5085678100586,73.58822631835938,73.42759704589844,72.66197967529297,66.54055786132813,74.44923400878906,80.0625,5.882352828979492,0,0,4.761904716491699,0,0,88.8888931274414,83.33332824707031,90,95,12.123506546020508,25769803776,2147483648,14371667968,534773760
204,1790356803515,4,4,4,4,4,4,4,4,4,4,75.74480438232422,75.34613037109375,75.21051788330078,74.85160827636719,68.83898162841797,76.23231506347656,78.796875,11.111111640930176,5,0,0,0,0,84.21052551269531,88.8888931274414,94.73684692382813,89.47368621826172,12.123506546020508,25769803776,2147483648,14717272064,534773760
204,1790356803720,4,4,4,4,4,4,4,4,4,4,75.74480438232422,75.34613037109375,75.21051788330078,74.85160827636719,68.83898162841797,76.23231506347656,78.796875,60.000003814697266,47.619049072265625,75,40,42.85714340209961,42.85714340209961,83.33332824707031,73.68421173095703,70,52.6315803527832,12.123506546020508,25769803776,2147483648,14765686784,534773760
204,1790356803925,4,4,4,4,4,4,4,4,4,4,75.74480438232422,75.34613037109375,75.21051788330078,74.85160827636719,68.83898162841797,76.23231506347656,78.796875,5,75,4.761904716491699,28.571430206298828,0,0,75,72.22222137451172,66.66667175292969,52.6315803527832,8.625404357910156,25769803776,2147483648,14768717824,534773760
201,1790356804130,4,4,4,4,4,4,4,4,4,4,75.74480438232422,75.34613037109375,75.21051788330078,74.85160827636719,68.83898162841797,76.23231506347656,78.796875,60.000003814697266,0,0,40,5,4.761904716491699,77.77777862548828,75,68.42105102539063,52.6315803527832,8.625404357910156,25769803776,2147483648,14772813824,534773760
202,1790356804332,4,4,4,4,4,4,4,4,4,4,75.74480438232422,75.34613037109375,75.21051788330078,74.85160827636719,68.83898162841797,76.23231506347656,78.796875,47.619049072265625,0,4.761904716491699,45,10,0,77.77777862548828,72.22222137451172,66.66667175292969,52.6315803527832,8.625404357910156,25769803776,2147483648,14749106176,534773760
204,1790356804535,4,4,4,4,4,4,4,4,4,4,78.0123291015625,76.78852844238281,76.40238189697266,76.77034759521484,70.18901824951172,78.8293228149414,80.203125,5,5,0,0,100,0,78.94737243652344,73.68421173095703,68.42105102539063,50,8.625404357910156,25769803776,2147483648,14736982016,534773760
200,1790356804739,4,4,4,4,4,4,4,4,4,4,78.0123291015625,76.78852844238281,76.40238189697266,76.77034759521484,70.18901824951172,78.8293228149414,80.203125,0,0,15.000000953674316,4.761904716491699,85,0,78.94737243652344,72.22222137451172,68.42105102539063,52.6315803527832,8.625404357910156,25769803776,2147483648,14757642240,534773760
200,1790356804940,4,4,4,4,4,4,4,4,4,4,78.0123291015625,76.78852844238281,76.40238189697266,76.77034759521484,70.18901824951172,78.8293228149414,80.203125,4.761904716491699,0,100,0,0,0,77.77777862548828,78.94737243652344,68.42105102539063,50,12.700439453125,25769803776,2147483648,14769061888,534773760
202,1790356805141,4,4,4,4,4,4,4,4,4,4,78.0123291015625,76.78852844238281,76.40238189697266,76.77034759521484,70.18901824951172,78.8293228149414,80.203125,47.36842346191406,4.761904716491699,9.523809432983398,0,0,52.38095474243164,77.77777862548828,72.22222137451172,66.66667175292969,47.36842346191406,12.700439453125,25769803776,2147483648,14772092928,534773760
200,1790356805344,4,4,4,4,4,4,4,4,4,4,78.27052307128906,76.95824432373047,76.5676498413086,76.9727554321289,70.33551788330078,79.03214263916016,79.96875,4.761904716491699,4.761904716491699,0,0,0,100,78.94737243652344,73.68421173095703,72.22222137451172,50,12.700439453125,25769803776,2147483648,14790541312,534773760
204,1790356805545,4,4,4,4,4,4,4,4,4,4,78.27052307128906,76.95824432373047,76.5676498413086,76.9727554321289,70.33551788330078,79.03214263916016,79.96875,5,0,0,0,4.761904716491699,100,77.77777862548828,72.22222137451172,66.66667175292969,50,12.700439453125,25769803776,2147483648,14805336064,534773760
203,1790356805750,4,4,4,4,4,4,4,4,4,4,78.27052307128906,76.95824432373047,76.5676498413086,76.9727554321289,70.33551788330078,79.03214263916016,79.96875,5.263157844543457,0,0,10,5,80,78.94737243652344,78.94737243652344,73.68421173095703,57.894737243652344,12.700439453125,25769803776,2147483648,14823342080,534773760
203,1790356805954,4,4,4,4,4,4,4,4,4,4,78.27052307128906,76.95824432373047,76.5676498413086,76.9727554321289,70.33551788330078,79.03214263916016,79.96875,4.761904716491699,0,0,9.523809432983398,10,80,83.33332824707031,77.77777862548828,78.94737243652344,55.55555725097656,16.202518463134766,25769803776,2147483648,14831075328,534773760
199,1790356806158,4,4,4,4,4,4,4,4,4,4,78.27052307128906,76.95824432373047,76.5676498413086,76.9727554321289,70.33551788330078,79.03214263916016,79.96875,0,4.761904716491699,0,0,100,0,78.94737243652344,73.68421173095703,68.42105102539063,50,16.202518463134766,25769803776,2147483648,14831075328,534773760
204,1790356806358,4,4,4,4,4,4,4,4,4,4,77.2309799194336,75.86170959472656,75.64339447021484,75.66458892822266,69.00267028808594,77.51527404785156,78.796875,5,0,0,0,100,0,77.77777862548828,76.47058868408203,66.66667175292969,50,16.202518463134766,25769803776,2147483648,14831075328,534773760
204,1790356806563,4,4,4,4,4,4,4,4,4,4,77.2309799194336,75.86170959472656,75.64339447021484,75.66458892822266,69.00267028808594,77.51527404785156,78.796875,5,42.85714340209961,61.904762268066406,4.761904716491699,4.761904716491699,0,78.94737243652344,75,68.42105102539063,50,16.202518463134766,25769803776,2147483648,14831075328,534773760
200,1790356806768,4,4,4,4,4,4,4,4,4,4,77.2309799194336,75.86170959472656,75.64339447021484,75.66458892822266,69.00267028808594,77.51527404785156,78.796875,42.85714340209961,5,38.095237731933594,19.047618865966797,0,4.761904716491699,78.94737243652344,76.47058868408203,68.42105102539063,50,16.202518463134766,25769803776,2147483648,14881423360,534773760
202,1790356806969,4,4,4,4,4,4,4,4,4,4,77.2309799194336,75.86170959472656,75.64339447021484,75.66458892822266,69.00267028808594,77.51527404785156,78.796875,5,5,5,100,0,5,78.94737243652344,75,70.5882339477539,50,12.925371170043945,25769803776,2147483648,14905311232,534773760
200,1790356807172,4,4,4,4,4,4,4,4,4,4,77.2309799194336,75.86170959472656,75.64339447021484,75.66458892822266,69.00267028808594,77.51527404785156,78.796875,80,0,0,23.809524536132813,0,4.545454502105713,82.35294342041016,77.77777862548828,68.42105102539063,52.6315803527832,12.925371170043945,25769803776,2147483648,14917943296,534773760
204,1790356807373,4,4,4,4,4,4,4,4,4,4,76.95182037353516,75.32205200195313,74.96722412109375,75.28541564941406,68.35803985595703,77.04324340820313,77.375,10,5,100,0,4.761904716491699,0,77.77777862548828,72.22222137451172,66.66667175292969,47.05882263183594,12.925371170043945,25769803776,2147483648,14924595200,534773760
204,1790356807578,4,4,4,4,4,4,4,4,4,4,76.95182037353516,75.32205200195313,74.96722412109375,75.28541564941406,68.35803985595703,77.04324340820313,77.375,23.809524536132813,76.19047546386719,19.047618865966797,4.545454502105713,0,0,78.94737243652344,78.94737243652344,68.42105102539063,50,12.925371170043945,25769803776,2147483648,14953431040,534773760
203,1790356807783,4,4,4,4,4,4,4,4,4,4,76.95182037353516,75.32205200195313,74.96722412109375,75.28541564941406,68.35803985595703,77.04324340820313,77.375,95,10,0,0,0,0,78.94737243652344,72.22222137451172,68.42105102539063,44.4444465637207,12.925371170043945,25769803776,2147483648,14936752128,534773760
202,1790356807987,4,4,4,4,4,4,4,4,4,4,76.95182037353516,75.32205200195313,74.96722412109375,75.28541564941406,68.35803985595703,77.04324340820313,77.375,5,94.73684692382813,0,0,0,5,78.94737243652344,78.94737243652344,72.22222137451172,50,13.303613662719727,25769803776,2147483648,14976974848,534773760
204,1790356808190,4,4,4,4,4,4,4,4,4,4,76.95182037353516,75.32205200195313,74.96722412109375,75.28541564941406,68.35803985595703,77.04324340820313,77.375,25,25,10,0,4.761904716491699,0,77.77777862548828,72.22222137451172,68.42105102539063,47.36842346191406,13.303613662719727,25769803776,2147483648,15069151232,534773760
200,1790356808395,4,4,4,4,4,4,4,4,4,4,76.50146484375,74.92594909667969,74.54326629638672,74.8195571899414,67.91616821289063,76.48224639892578,78.671875,10,23.809524536132813,0,4.761904716491699,0,0,83.33332824707031,78.94737243652344,68.42105102539063,47.36842346191406,13.303613662719727,25769803776,2147483648,15072641024,534773760
202,1790356808595,4,4,4,4,4,4,4,4,4,4,76.50146484375,74.92594909667969,74.54326629638672,74.8195571899414,67.91616821289063,76.48224639892578,78.671875,20,9.523809432983398,14.285715103149414,0,0,0,78.94737243652344,72.22222137451172,70.5882339477539,50,13.303613662719727,25769803776,2147483648,15073083392,534773760
202,1790356808799,4,4,4,4,4,4,4,4,4,4,76.50146484375,74.92594909667969,74.54326629638672,74.8195571899414,67.91616821289063,76.48224639892578,78.671875,9.523809432983398,0,0,0,0,0,83.33332824707031,78.94737243652344,68.42105102539063,52.6315803527832,13.303613662719727,25769803776,2147483648,15072641024,534773760
