Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790357431815,4,4,4,4,4,4,4,4,4,4,77.07197570800781,75.30488586425781,74.98186492919922,75.49851989746094,68.3297348022461,77.10301971435547,78.3125,0,0,0,0,0,0,NaN,NaN,50,100,14.01392936706543,25769803776,2147483648,14781480960,534773760
204,1790357431815,4,4,4,4,4,4,4,4,4,4,77.07197570800781,75.30488586425781,74.98186492919922,75.49851989746094,68.3297348022461,77.10301971435547,78.3125,100,0,0,0,NaN,0,100,100,100,0,14.01392936706543,25769803776,2147483648,14781480960,534773760
204,1790357432020,4,4,4,4,4,4,4,4,4,4,77.07197570800781,75.30488586425781,74.98186492919922,75.49851989746094,68.3297348022461,77.10301971435547,78.3125,11.764705657958984,10,0,0,0,0,89.47368621826172,88.8888931274414,84.21052551269531,89.47368621826172,14.005117416381836,25769803776,2147483648,14978236416,534773760
204,1790357432225,4,4,4,4,4,4,4,4,4,4,77.07197570800781,75.30488586425781,74.98186492919922,75.49851989746094,68.3297348022461,77.10301971435547,78.3125,11.111111640930176,5,0,0,0,0,90,85,94.44444274902344,85,14.005117416381836,25769803776,2147483648,15020769280,534773760
204,1790357432430,4,4,4,4,4,4,4,4,4,4,77.18183898925781,76.66956329345703,76.40194702148438,76.20804595947266,70.04423522949219,77.8326187133789,81.625,5.882352828979492,0,0,0,0,0,94.11764526367188,88.8888931274414,84.21052551269531,94.44444274902344,14.005117416381836,25769803776,2147483648,15036579840,534773760
204,1790357432635,4,4,4,4,4,4,4,4,4,4,77.18183898925781,76.66956329345703,76.40194702148438,76.20804595947266,70.04423522949219,77.8326187133789,81.625,5.882352828979492,5,0,4.545454502105713,4.545454502105713,0,85,89.47368621826172,84.21052551269531,94.73684692382813,14.005117416381836,25769803776,2147483648,15064743936,534773760
203,1790357432840,4,4,4,4,4,4,4,4,4,4,77.18183898925781,76.66956329345703,76.40194702148438,76.20804595947266,70.04423522949219,77.8326187133789,81.625,11.111111640930176,5,0,0,0,0,94.44444274902344,84.21052551269531,83.33332824707031,95,14.005117416381836,25769803776,2147483648,15034695680,534773760
204,1790357433043,4,4,4,4,4,4,4,4,4,4,77.18183898925781,76.66956329345703,76.40194702148438,76.20804595947266,70.04423522949219,77.8326187133789,81.625,21.052631378173828,15.789472579956055,18.18181800842285,15.000000953674316,15.000000953674316,10.526315689086914,84.21052551269531,83.33332824707031,78.94737243652344,65,9.994808197021484,25769803776,2147483648,15400878080,534773760
201,1790357433248,4,4,4,4,4,4,4,4,4,4,77.18183898925781,76.66956329345703,76.40194702148438,76.20804595947266,70.04423522949219,77.8326187133789,81.625,71.42857360839844,33.333335876464844,30.000001907348633,28.571430206298828,50,28.571430206298828,78.94737243652344,73.68421173095703,68.42105102539063,57.894737243652344,9.994808197021484,25769803776,2147483648,15420440576,534773760
204,1790357433450,4,4,4,4,4,4,4,4,4,4,78.75458526611328,77.98318481445313,77.7828140258789,77.91108703613281,71.75159454345703,79.66804504394531,82.796875,100,5,0,0,0,0,73.68421173095703,72.22222137451172,66.66667175292969,50,9.994808197021484,25769803776,2147483648,15420243968,534773760
