Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790355842196,4,4,4,4,4,4,4,4,4,4,77.7475357055664,76.1875991821289,75.86499786376953,76.26410675048828,69.14598083496094,78.0318832397461,78.796875,100,100,NaN,NaN,50,50,50,100,0,NaN,14.410123825073242,25769803776,2147483648,13810188288,534773760
201,1790355842196,4,4,4,4,4,4,4,4,4,4,77.7475357055664,76.1875991821289,75.86499786376953,76.26410675048828,69.14598083496094,78.0318832397461,78.796875,NaN,0,50,0,NaN,NaN,100,0,100,50,14.410123825073242,25769803776,2147483648,13810548736,534773760
204,1790355842398,4,4,4,4,4,4,4,4,4,4,77.4170150756836,76.62232208251953,76.25732421875,76.14372253417969,69.7625503540039,77.84458923339844,80.203125,47.36842346191406,42.105262756347656,42.105262756347656,45,36.842105865478516,35,89.47368621826172,88.8888931274414,89.47368621826172,88.23529815673828,14.410123825073242,25769803776,2147483648,13810548736,534773760
204,1790355842603,4,4,4,4,4,4,4,4,4,4,77.4170150756836,76.62232208251953,76.25732421875,76.14372253417969,69.7625503540039,77.84458923339844,80.203125,21.052631378173828,10,9.523809432983398,5,9.523809432983398,5,89.47368621826172,89.47368621826172,94.73684692382813,85,14.410123825073242,25769803776,2147483648,13810548736,534773760
204,1790355842808,4,4,4,4,4,4,4,4,4,4,77.4170150756836,76.62232208251953,76.25732421875,76.14372253417969,69.7625503540039,77.84458923339844,80.203125,11.764705657958984,5,0,4.761904716491699,5,0,88.23529815673828,90,84.21052551269531,89.47368621826172,11.803722381591797,25769803776,2147483648,13973602304,534773760
204,1790355843013,4,4,4,4,4,4,4,4,4,4,77.4170150756836,76.62232208251953,76.25732421875,76.14372253417969,69.7625503540039,77.84458923339844,80.203125,16.666667938232422,10,5,4.761904716491699,9.523809432983398,5,90,94.73684692382813,88.8888931274414,84.21052551269531,11.803722381591797,25769803776,2147483648,13967360000,534773760
203,1790355843218,4,4,4,4,4,4,4,4,4,4,77.4170150756836,76.62232208251953,76.25732421875,76.14372253417969,69.7625503540039,77.84458923339844,80.203125,15.789472579956055,0,0,0,0,0,94.44444274902344,84.21052551269531,90,84.21052551269531,11.803722381591797,25769803776,2147483648,13958774784,534773760
204,1790355843421,4,4,4,4,4,4,4,4,4,4,78.64981079101563,78.5664291381836,78.44147491455078,78.21700286865234,72.447509765625,80.03648376464844,83.96875,22.22222328186035,25,20,20,15.000000953674316,19.047618865966797,85,77.77777862548828,78.94737243652344,68.42105102539063,11.803722381591797,25769803776,2147483648,14328217600,534773760
200,1790355843626,4,4,4,4,4,4,4,4,4,4,78.64981079101563,78.5664291381836,78.44147491455078,78.21700286865234,72.447509765625,80.03648376464844,83.96875,47.619049072265625,33.333335876464844,66.66667175292969,30.000001907348633,42.85714340209961,25,77.77777862548828,73.68421173095703,66.66667175292969,55.55555725097656,11.803722381591797,25769803776,2147483648,14327398400,534773760
204,1790355843827,4,4,4,4,4,4,4,4,4,4,78.64981079101563,78.5664291381836,78.44147491455078,78.21700286865234,72.447509765625,80.03648376464844,83.96875,5,5.263157844543457,0,71.42857360839844,25,0,78.94737243652344,72.22222137451172,68.42105102539063,50,10.671594619750977,25769803776,2147483648,14327087104,534773760
202,1790355844032,4,4,4,4,4,4,4,4,4,4,78.64981079101563,78.5664291381836,78.44147491455078,78.21700286865234,72.447509765625,80.03648376464844,83.96875,80,23.809524536132813,9.090909004211426,0,0,0,78.94737243652344,72.22222137451172,66.66667175292969,55,10.671594619750977,25769803776,2147483648,14313570304,534773760
200,1790355844235,4,4,4,4,4,4,4,4,4,4,78.64981079101563,78.5664291381836,78.44147491455078,78.21700286865234,72.447509765625,80.03648376464844,83.96875,5,55,30.000001907348633,0,10.526315689086914,0,76.47058868408203,75,68.42105102539063,50,10.671594619750977,25769803776,2147483648,14313570304,534773760
200,1790355844436,4,4,4,4,4,4,4,4,4,4,83.03643798828125,80.23734283447266,79.87570190429688,81.33985137939453,73.72101593017578,83.64564514160156,84.671875,0,0,5,0,100,0,78.94737243652344,72.22222137451172,66.66667175292969,55,10.671594619750977,25769803776,2147483648,14313570304,534773760
200,1790355844638,4,4,4,4,4,4,4,4,4,4,83.03643798828125,80.23734283447266,79.87570190429688,81.33985137939453,73.72101593017578,83.64564514160156,84.671875,9.090909004211426,70,0,0,30.000001907348633,0,78.94737243652344,76.47058868408203,66.66667175292969,52.94117736816406,10.671594619750977,25769803776,2147483648,14313570304,534773760
204,1790355844839,4,4,4,4,4,4,4,4,4,4,83.03643798828125,80.23734283447266,79.87570190429688,81.33985137939453,73.72101593017578,83.64564514160156,84.671875,0,23.809524536132813,85,0,0,0,77.77777862548828,73.68421173095703,70,47.36842346191406,19.789079666137695,25769803776,2147483648,14279376896,534773760
204,1790355845044,4,4,4,4,4,4,4,4,4,4,83.03643798828125,80.23734283447266,79.87570190429688,81.33985137939453,73.72101593017578,83.64564514160156,84.671875,9.523809432983398,0,80,4.761904716491699,0,23.809524536132813,78.94737243652344,73.68421173095703,68.42105102539063,50,19.789079666137695,25769803776,2147483648,14286077952,534773760
201,1790355845249,4,4,4,4,4,4,4,4,4,4,83.03643798828125,80.23734283447266,79.87570190429688,81.33985137939453,73.72101593017578,83.64564514160156,84.671875,0,70,4.761904716491699,5,4.761904716491699,30.000001907348633,78.94737243652344,77.77777862548828,66.66667175292969,52.6315803527832,19.789079666137695,25769803776,2147483648,14286077952,534773760
204,1790355845451,4,4,4,4,4,4,4,4,4,4,80.17951202392578,78.86848449707031,78.45584869384766,79.04072570800781,72.13245391845703,80.98780059814453,82.328125,14.285715103149414,65,28.571430206298828,14.285715103149414,0,4.761904716491699,83.33332824707031,73.68421173095703,72.22222137451172,50,19.789079666137695,25769803776,2147483648,14286077952,534773760
201,1790355845656,4,4,4,4,4,4,4,4,4,4,80.17951202392578,78.86848449707031,78.45584869384766,79.04072570800781,72.13245391845703,80.98780059814453,82.328125,30.000001907348633,15.000000953674316,63.15789031982422,0,4.761904716491699,4.761904716491699,78.94737243652344,77.77777862548828,68.42105102539063,47.36842346191406,19.789079666137695,25769803776,2147483648,14286077952,534773760
200,1790355845858,4,4,4,4,4,4,4,4,4,4,80.17951202392578,78.86848449707031,78.45584869384766,79.04072570800781,72.13245391845703,80.98780059814453,82.328125,5,9.090909004211426,4.761904716491699,4.761904716491699,0,94.73684692382813,77.77777862548828,73.68421173095703,66.66667175292969,50,16.491548538208008,25769803776,2147483648,14329397248,534773760
200,1790355846059,4,4,4,4,4,4,4,4,4,4,80.17951202392578,78.86848449707031,78.45584869384766,79.04072570800781,72.13245391845703,80.98780059814453,82.328125,5,26.3157901763916,0,0,0,75,83.33332824707031,77.77777862548828,72.22222137451172,52.6315803527832,16.491548538208008,25769803776,2147483648,14348730368,534773760
204,1790355846260,4,4,4,4,4,4,4,4,4,4,80.17951202392578,78.86848449707031,78.45584869384766,79.04072570800781,72.13245391845703,80.98780059814453,82.328125,0,60.000003814697266,0,4.761904716491699,40,9.523809432983398,78.94737243652344,72.22222137451172,66.66667175292969,50,16.491548538208008,25769803776,2147483648,14348730368,534773760
204,1790355846465,4,4,4,4,4,4,4,4,4,4,78.26811218261719,77.10777282714844,76.74419403076172,77.07061004638672,70.14022064208984,78.81282806396484,79.96875,59.09090805053711,5,9.523809432983398,0,42.85714340209961,0,78.94737243652344,78.94737243652344,70,50,16.491548538208008,25769803776,2147483648,14348730368,534773760
204,1790355846670,4,4,4,4,4,4,4,4,4,4,78.26811218261719,77.10777282714844,76.74419403076172,77.07061004638672,70.14022064208984,78.81282806396484,79.96875,22.22222328186035,19.047618865966797,10,15.789472579956055,36.842105865478516,5,88.23529815673828,84.21052551269531,83.33332824707031,5,16.491548538208008,25769803776,2147483648,14348730368,534773760
204,1790355846875,4,4,4,4,4,4,4,4,4,4,78.26811218261719,77.10777282714844,76.74419403076172,77.07061004638672,70.14022064208984,78.81282806396484,79.96875,42.85714340209961,10.526315689086914,45,5,14.285715103149414,0,84.21052551269531,83.33332824707031,84.21052551269531,0,14.68770980834961,25769803776,2147483648,14423539712,534773760
204,1790355847080,4,4,4,4,4,4,4,4,4,4,78.26811218261719,77.10777282714844,76.74419403076172,77.07061004638672,70.14022064208984,78.81282806396484,79.96875,40,20,10,23.809524536132813,0,28.571430206298828,88.8888931274414,83.33332824707031,84.21052551269531,0,14.68770980834961,25769803776,2147483648,14441414656,534773760
