Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790357257440,4,4,4,4,4,4,4,4,4,4,76.97114562988281,75.5609130859375,75.37445068359375,75.56502532958984,68.64087677001953,77.09281921386719,78.796875,NaN,0,0,50,0,0,100,50,100,0,14.248672485351563,25769803776,2147483648,14810398720,534773760
202,1790357257440,4,4,4,4,4,4,4,4,4,4,76.97114562988281,75.5609130859375,75.37445068359375,75.56502532958984,68.64087677001953,77.09281921386719,78.796875,NaN,0,0,0,0,0,NaN,NaN,100,NaN,14.248672485351563,25769803776,2147483648,14810398720,534773760
204,1790357257643,4,4,4,4,4,4,4,4,4,4,76.97114562988281,75.5609130859375,75.37445068359375,75.56502532958984,68.64087677001953,77.09281921386719,78.796875,15.789472579956055,10,0,0,0,0,90,89.47368621826172,84.21052551269531,85,14.248672485351563,25769803776,2147483648,14810398720,534773760
203,1790357257848,4,4,4,4,4,4,4,4,4,4,76.97114562988281,75.5609130859375,75.37445068359375,75.56502532958984,68.64087677001953,77.09281921386719,78.796875,5.882352828979492,0,0,0,0,0,89.47368621826172,88.8888931274414,89.47368621826172,94.44444274902344,14.248672485351563,25769803776,2147483648,14810398720,534773760
204,1790357258052,4,4,4,4,4,4,4,4,4,4,76.97114562988281,75.5609130859375,75.37445068359375,75.56502532958984,68.64087677001953,77.09281921386719,78.796875,5.882352828979492,5,0,0,4.761904716491699,0,94.73684692382813,85,88.8888931274414,84.21052551269531,13.355396270751953,25769803776,2147483648,15045115904,534773760
202,1790357258257,4,4,4,4,4,4,4,4,4,4,76.97114562988281,75.5609130859375,75.37445068359375,75.56502532958984,68.64087677001953,77.09281921386719,78.796875,11.764705657958984,0,4.545454502105713,0,0,0,89.47368621826172,100,85,83.33332824707031,13.355396270751953,25769803776,2147483648,14995849216,534773760
204,1790357258459,4,4,4,4,4,4,4,4,4,4,77.9502182006836,77.7146987915039,77.40917205810547,77.29399871826172,71.38091278076172,78.90998840332031,82.09375,5.882352828979492,5.263157844543457,0,0,0,0,88.8888931274414,94.73684692382813,83.33332824707031,90,13.355396270751953,25769803776,2147483648,14995849216,534773760
204,1790357258664,4,4,4,4,4,4,4,4,4,4,77.9502182006836,77.7146987915039,77.40917205810547,77.29399871826172,71.38091278076172,78.90998840332031,82.09375,30.000001907348633,20,20,5,4.761904716491699,9.523809432983398,84.21052551269531,75,73.68421173095703,66.66667175292969,13.355396270751953,25769803776,2147483648,14995849216,534773760
199,1790357258869,4,4,4,4,4,4,4,4,4,4,77.9502182006836,77.7146987915039,77.40917205810547,77.29399871826172,71.38091278076172,78.90998840332031,82.09375,10,19.047618865966797,10,9.523809432983398,4.761904716491699,0,78.94737243652344,76.47058868408203,70.5882339477539,55,9.339630126953125,25769803776,2147483648,14995849216,534773760
204,1790357259070,4,4,4,4,4,4,4,4,4,4,77.9502182006836,77.7146987915039,77.40917205810547,77.29399871826172,71.38091278076172,78.90998840332031,82.09375,5,0,0,0,0,0,77.77777862548828,75,68.42105102539063,55.55555725097656,9.339630126953125,25769803776,2147483648,15365095424,534773760
