Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790357604622,4,4,4,4,4,4,4,4,4,4,77.20128631591797,75.61077117919922,75.44205474853516,75.84259033203125,68.6322021484375,77.2998046875,78.3125,0,0,0,0,0,0,50,100,66.66667175292969,50,14.071863174438477,25769803776,2147483648,15172665344,534773760
204,1790357604623,4,4,4,4,4,4,4,4,4,4,77.20128631591797,75.61077117919922,75.44205474853516,75.84259033203125,68.6322021484375,77.2998046875,78.3125,NaN,0,0,0,0,0,NaN,100,NaN,NaN,14.071863174438477,25769803776,2147483648,15173025792,534773760
209,1790357604827,4,4,4,4,4,4,4,4,4,4,77.20128631591797,75.61077117919922,75.44205474853516,75.84259033203125,68.6322021484375,77.2998046875,78.3125,16.666667938232422,5.263157844543457,0,4.761904716491699,0,0,89.47368621826172,90,88.8888931274414,84.21052551269531,14.071863174438477,25769803776,2147483648,15173025792,534773760
209,1790357605036,4,4,4,4,4,4,4,4,4,4,77.20128631591797,75.61077117919922,75.44205474853516,75.84259033203125,68.6322021484375,77.2998046875,78.3125,5.882352828979492,0,0,0,0,0,88.8888931274414,89.47368621826172,85,85.71428680419922,14.064661026000977,25769803776,2147483648,15173025792,534773760
207,1790357605246,4,4,4,4,4,4,4,4,4,4,77.20128631591797,75.61077117919922,75.44205474853516,75.84259033203125,68.6322021484375,77.2998046875,78.3125,11.111111640930176,4.761904716491699,4.761904716491699,0,0,0,89.47368621826172,95,89.47368621826172,88.8888931274414,14.064661026000977,25769803776,2147483648,15324086272,534773760
200,1790357605454,4,4,4,4,4,4,4,4,4,4,77.63099670410156,77.27049255371094,77.26016998291016,76.75309753417969,71.2005386352539,78.43862915039063,82.09375,5.882352828979492,5,0,0,0,0,90,84.21052551269531,95,80,14.064661026000977,25769803776,2147483648,15304884224,534773760
209,1790357605654,4,4,4,4,4,4,4,4,4,4,77.63099670410156,77.27049255371094,77.26016998291016,76.75309753417969,71.2005386352539,78.43862915039063,82.09375,11.111111640930176,0,0,0,0,0,84.21052551269531,88.23529815673828,100,82.35294342041016,14.064661026000977,25769803776,2147483648,15322480640,534773760
206,1790357605864,4,4,4,4,4,4,4,4,4,4,77.63099670410156,77.27049255371094,77.26016998291016,76.75309753417969,71.2005386352539,78.43862915039063,82.09375,30.000001907348633,28.571430206298828,20,23.809524536132813,20,27.272727966308594,83.33332824707031,76.19047546386719,80,63.15789031982422,9.48588752746582,25769803776,2147483648,15322480640,534773760
209,1790357606072,4,4,4,4,4,4,4,4,4,4,77.63099670410156,77.27049255371094,77.26016998291016,76.75309753417969,71.2005386352539,78.43862915039063,82.09375,35,40,25,28.571430206298828,59.09090805053711,23.809524536132813,78.94737243652344,77.77777862548828,68.42105102539063,60.000003814697266,9.48588752746582,25769803776,2147483648,15322480640,534773760
209,1790357606282,4,4,4,4,4,4,4,4,4,4,77.63099670410156,77.27049255371094,77.26016998291016,76.75309753417969,71.2005386352539,78.43862915039063,82.09375,4.761904716491699,0,36.3636360168457,66.66667175292969,0,0,78.94737243652344,72.22222137451172,68.42105102539063,50,9.48588752746582,25769803776,2147483648,15703638016,534773760
209,1790357606492,4,4,4,4,4,4,4,4,4,4,79.45086669921875,78.41950988769531,78.23907470703125,78.38014221191406,72.14866638183594,80.39881896972656,83.03125,68.18181610107422,0,23.809524536132813,0,5,0,78.94737243652344,75,68.42105102539063,50,9.48588752746582,25769803776,2147483648,15636873216,534773760
202,1790357606702,4,4,4,4,4,4,4,4,4,4,79.45086669921875,78.41950988769531,78.23907470703125,78.38014221191406,72.14866638183594,80.39881896972656,83.03125,80,4.761904716491699,4.761904716491699,27.272727966308594,4.761904716491699,4.545454502105713,75,68.42105102539063,70,52.6315803527832,9.48588752746582,25769803776,2147483648,15636873216,534773760
209,1790357606904,4,4,4,4,4,4,4,4,4,4,79.45086669921875,78.41950988769531,78.23907470703125,78.38014221191406,72.14866638183594,80.39881896972656,83.03125,4.761904716491699,5,0,0,85.71428680419922,5.263157844543457,77.77777862548828,78.94737243652344,66.66667175292969,47.36842346191406,12.522270202636719,25769803776,2147483648,15636873216,534773760
209,1790357607114,4,4,4,4,4,4,4,4,4,4,79.45086669921875,78.41950988769531,78.23907470703125,78.38014221191406,72.14866638183594,80.39881896972656,83.03125,35,4.545454502105713,59.09090805053711,4.761904716491699,4.761904716491699,4.545454502105713,78.94737243652344,73.68421173095703,68.42105102539063,50,12.522270202636719,25769803776,2147483648,15636873216,534773760
205,1790357607325,4,4,4,4,4,4,4,4,4,4,79.45086669921875,78.41950988769531,78.23907470703125,78.38014221191406,72.14866638183594,80.39881896972656,83.03125,95.23809814453125,0,5,0,0,0,80,73.68421173095703,68.42105102539063,52.38095474243164,12.522270202636719,25769803776,2147483648,15655567360,534773760
200,1790357607531,4,4,4,4,4,4,4,4,4,4,80.57268524169922,79.11148071289063,78.8624267578125,79.16476440429688,72.62109375,81.44113159179688,81.859375,0,0,90.47618865966797,0,0,5.263157844543457,78.94737243652344,73.68421173095703,65,47.36842346191406,12.522270202636719,25769803776,2147483648,15670312960,534773760
205,1790357607732,4,4,4,4,4,4,4,4,4,4,80.57268524169922,79.11148071289063,78.8624267578125,79.16476440429688,72.62109375,81.44113159179688,81.859375,14.285715103149414,0,0,0,0,90.47618865966797,77.77777862548828,72.22222137451172,72.22222137451172,50,12.522270202636719,25769803776,2147483648,15672590336,534773760
199,1790357607937,4,4,4,4,4,4,4,4,4,4,80.57268524169922,79.11148071289063,78.8624267578125,79.16476440429688,72.62109375,81.44113159179688,81.859375,100,4.761904716491699,0,0,4.545454502105713,0,78.94737243652344,73.68421173095703,66.66667175292969,50,17.56340980529785,25769803776,2147483648,15694708736,534773760
201,1790357608137,4,4,4,4,4,4,4,4,4,4,80.57268524169922,79.11148071289063,78.8624267578125,79.16476440429688,72.62109375,81.44113159179688,81.859375,90,0,5,0,0,15.000000953674316,77.77777862548828,73.68421173095703,68.42105102539063,47.36842346191406,17.56340980529785,25769803776,2147483648,15707258880,534773760
209,1790357608339,4,4,4,4,4,4,4,4,4,4,80.57268524169922,79.11148071289063,78.8624267578125,79.16476440429688,72.62109375,81.44113159179688,81.859375,0,4.761904716491699,0,4.761904716491699,0,100,78.94737243652344,77.77777862548828,66.66667175292969,52.6315803527832,17.56340980529785,25769803776,2147483648,15713288192,534773760
204,1790357608549,4,4,4,4,4,4,4,4,4,4,78.97563171386719,78.29822540283203,78.01126861572266,78.16805267333984,71.81788635253906,80.093505859375,80.4375,4.761904716491699,4.545454502105713,0,0,0,100,78.94737243652344,72.22222137451172,68.42105102539063,47.36842346191406,17.56340980529785,25769803776,2147483648,15731261440,534773760
209,1790357608754,4,4,4,4,4,4,4,4,4,4,78.97563171386719,78.29822540283203,78.01126861572266,78.16805267333984,71.81788635253906,80.093505859375,80.4375,85,20,4.761904716491699,0,0,0,78.94737243652344,75,68.42105102539063,50,17.56340980529785,25769803776,2147483648,15743582208,534773760
205,1790357608964,4,4,4,4,4,4,4,4,4,4,78.97563171386719,78.29822540283203,78.01126861572266,78.16805267333984,71.81788635253906,80.093505859375,80.4375,50,55,0,0,0,0,78.94737243652344,73.68421173095703,68.42105102539063,47.36842346191406,13.845966339111328,25769803776,2147483648,15752806400,534773760
209,1790357609170,4,4,4,4,4,4,4,4,4,4,78.97563171386719,78.29822540283203,78.01126861572266,78.16805267333984,71.81788635253906,80.093505859375,80.4375,0,100,0,0,0,0,77.77777862548828,73.68421173095703,68.42105102539063,47.36842346191406,13.845966339111328,25769803776,2147483648,15763636224,534773760
