Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790355893083,4,4,4,4,4,4,4,4,4,4,78.0081558227539,76.55277252197266,76.13638305664063,76.5972671508789,69.56351470947266,78.4113998413086,78.796875,0,0,0,0,0,0,50,100,NaN,50,14.637313842773438,25769803776,2147483648,13762871296,534773760
204,1790355893083,4,4,4,4,4,4,4,4,4,4,78.0081558227539,76.55277252197266,76.13638305664063,76.5972671508789,69.56351470947266,78.4113998413086,78.796875,NaN,0,0,NaN,0,NaN,NaN,0,100,100,14.637313842773438,25769803776,2147483648,13762871296,534773760
204,1790355893287,4,4,4,4,4,4,4,4,4,4,78.0081558227539,77.0682144165039,76.58854675292969,76.5972671508789,69.56351470947266,78.4113998413086,78.796875,16.666667938232422,10,0,0,0,4.761904716491699,94.73684692382813,89.47368621826172,84.21052551269531,83.33332824707031,14.637313842773438,25769803776,2147483648,13762871296,534773760
200,1790355893492,4,4,4,4,4,4,4,4,4,4,77.73701477050781,77.0682144165039,76.58854675292969,76.63816833496094,70.15714263916016,78.29849243164063,81.390625,11.111111640930176,0,0,0,0,0,89.47368621826172,89.47368621826172,89.47368621826172,89.47368621826172,14.637313842773438,25769803776,2147483648,13913538560,534773760
200,1790355893693,4,4,4,4,4,4,4,4,4,4,77.73701477050781,77.0682144165039,76.58854675292969,76.63816833496094,70.15714263916016,78.29849243164063,81.390625,6.25,5,4.761904716491699,0,0,0,89.47368621826172,88.8888931274414,88.8888931274414,89.47368621826172,14.637313842773438,25769803776,2147483648,13918076928,534773760
204,1790355893893,4,4,4,4,4,4,4,4,4,4,77.73701477050781,77.0682144165039,76.58854675292969,76.63816833496094,70.15714263916016,78.29849243164063,81.390625,5.882352828979492,0,0,5,0,0,88.23529815673828,84.21052551269531,78.94737243652344,100,12.495243072509766,25769803776,2147483648,13880098816,534773760
201,1790355894098,4,4,4,4,4,4,4,4,4,4,77.73701477050781,77.0682144165039,76.58854675292969,76.63816833496094,70.15714263916016,78.29849243164063,81.390625,16.666667938232422,5,0,0,0,0,84.21052551269531,84.21052551269531,88.23529815673828,95.23809814453125,12.495243072509766,25769803776,2147483648,13889355776,534773760
204,1790355894300,4,4,4,4,4,4,4,4,4,4,78.81939697265625,78.74658203125,78.73261260986328,78.32527923583984,72.6914291381836,80.16143798828125,83.5,5,0,0,0,0,0,83.33332824707031,82.35294342041016,75,68.42105102539063,12.495243072509766,25769803776,2147483648,14236401664,534773760
204,1790355894505,4,4,4,4,4,4,4,4,4,4,78.81939697265625,78.74658203125,78.73261260986328,78.32527923583984,72.6914291381836,80.16143798828125,83.5,50,60.000003814697266,47.619049072265625,45,42.85714340209961,40,78.94737243652344,73.68421173095703,73.68421173095703,55.55555725097656,12.495243072509766,25769803776,2147483648,14276378624,534773760
204,1790355894710,4,4,4,4,4,4,4,4,4,4,78.81939697265625,78.74658203125,78.73261260986328,78.32527923583984,72.6914291381836,80.16143798828125,83.5,80,4.761904716491699,9.523809432983398,0,14.285715103149414,0,78.94737243652344,73.68421173095703,66.66667175292969,52.6315803527832,12.495243072509766,25769803776,2147483648,14276149248,534773760
204,1790355894915,4,4,4,4,4,4,4,4,4,4,78.81939697265625,78.74658203125,78.73261260986328,78.32527923583984,72.6914291381836,80.16143798828125,83.5,5,0,40,22.72727394104004,30.000001907348633,9.090909004211426,72.22222137451172,73.68421173095703,68.42105102539063,52.6315803527832,9.99238395690918,25769803776,2147483648,14220673024,534773760
203,1790355895120,4,4,4,4,4,4,4,4,4,4,78.81939697265625,78.74658203125,78.73261260986328,78.32527923583984,72.6914291381836,80.16143798828125,83.5,80.95238494873047,15.000000953674316,5,0,0,0,78.94737243652344,72.22222137451172,66.66667175292969,52.6315803527832,9.99238395690918,25769803776,2147483648,14213873664,534773760
204,1790355895324,4,4,4,4,4,4,4,4,4,4,81.74170684814453,79.651123046875,79.32972717285156,80.15043640136719,73.1684341430664,82.42089080810547,83.03125,78.94737243652344,14.285715103149414,9.523809432983398,21.052631378173828,0,0,78.94737243652344,73.68421173095703,70,52.6315803527832,9.99238395690918,25769803776,2147483648,14231011328,534773760
204,1790355895529,4,4,4,4,4,4,4,4,4,4,81.74170684814453,79.651123046875,79.32972717285156,80.15043640136719,73.1684341430664,82.42089080810547,83.03125,33.333335876464844,25,0,57.142860412597656,4.761904716491699,0,73.68421173095703,72.22222137451172,66.66667175292969,52.6315803527832,9.99238395690918,25769803776,2147483648,14239793152,534773760
203,1790355895734,4,4,4,4,4,4,4,4,4,4,81.74170684814453,79.651123046875,79.32972717285156,80.15043640136719,73.1684341430664,82.42089080810547,83.03125,5,100,0,4.545454502105713,0,0,78.94737243652344,75,68.42105102539063,50,9.99238395690918,25769803776,2147483648,14245543936,534773760
200,1790355895938,4,4,4,4,4,4,4,4,4,4,81.74170684814453,79.651123046875,79.32972717285156,80.15043640136719,73.1684341430664,82.42089080810547,83.03125,9.523809432983398,0,42.85714340209961,0,52.38095474243164,0,77.77777862548828,72.22222137451172,66.66667175292969,52.6315803527832,17.617868423461914,25769803776,2147483648,14275100672,534773760
204,1790355896139,4,4,4,4,4,4,4,4,4,4,81.74170684814453,79.651123046875,79.32972717285156,80.15043640136719,73.1684341430664,82.42089080810547,83.03125,5,9.090909004211426,4.761904716491699,57.894737243652344,47.619049072265625,0,77.77777862548828,73.68421173095703,68.42105102539063,52.6315803527832,17.617868423461914,25769803776,2147483648,14280785920,534773760
201,1790355896344,4,4,4,4,4,4,4,4,4,4,81.86669921875,79.98131561279297,79.56596374511719,80.29279327392578,73.33805847167969,82.57027435302734,83.03125,9.523809432983398,5,0,100,0,4.761904716491699,78.94737243652344,72.22222137451172,66.66667175292969,50,17.617868423461914,25769803776,2147483648,14294024192,534773760
204,1790355896545,4,4,4,4,4,4,4,4,4,4,81.86669921875,79.98131561279297,79.56596374511719,80.29279327392578,73.33805847167969,82.57027435302734,83.03125,21.052631378173828,10,5.263157844543457,23.809524536132813,70,0,78.94737243652344,78.94737243652344,68.42105102539063,50,17.617868423461914,25769803776,2147483648,14356758528,534773760
204,1790355896750,4,4,4,4,4,4,4,4,4,4,81.86669921875,79.98131561279297,79.56596374511719,80.29279327392578,73.33805847167969,82.57027435302734,83.03125,25,50,9.523809432983398,0,5,30.000001907348633,83.33332824707031,77.77777862548828,73.68421173095703,50,17.617868423461914,25769803776,2147483648,14389837824,534773760
199,1790355896955,4,4,4,4,4,4,4,4,4,4,81.86669921875,79.98131561279297,79.56596374511719,80.29279327392578,73.33805847167969,82.57027435302734,83.03125,61.904762268066406,0,4.761904716491699,4.761904716491699,4.761904716491699,40.90909194946289,78.94737243652344,73.68421173095703,68.42105102539063,47.36842346191406,18.9571590423584,25769803776,2147483648,14423867392,534773760
204,1790355897156,4,4,4,4,4,4,4,4,4,4,81.86669921875,79.98131561279297,79.56596374511719,80.29279327392578,73.33805847167969,82.57027435302734,83.03125,0,60.000003814697266,0,0,0,47.36842346191406,83.33332824707031,77.77777862548828,66.66667175292969,47.05882263183594,18.9571590423584,25769803776,2147483648,14438760448,534773760
204,1790355897361,4,4,4,4,4,4,4,4,4,4,78.94637298583984,77.8315200805664,77.35466003417969,77.7519760131836,70.88801574707031,79.6153793334961,82.90625,25,25,20,47.36842346191406,10,0,84.21052551269531,77.77777862548828,84.21052551269531,5,18.9571590423584,25769803776,2147483648,14438760448,534773760
200,1790355897566,4,4,4,4,4,4,4,4,4,4,78.94637298583984,77.8315200805664,77.35466003417969,77.7519760131836,70.88801574707031,79.6153793334961,82.90625,30.000001907348633,10,10,68.18181610107422,0,9.523809432983398,88.8888931274414,75,72.22222137451172,0,18.9571590423584,25769803776,2147483648,14495399936,534773760
204,1790355897767,4,4,4,4,4,4,4,4,4,4,78.94637298583984,77.8315200805664,77.35466003417969,77.7519760131836,70.88801574707031,79.6153793334961,82.90625,25,31.57894515991211,15.000000953674316,40,15.000000953674316,0,88.8888931274414,70.5882339477539,88.8888931274414,0,18.9571590423584,25769803776,2147483648,14436646912,534773760
204,1790355897972,4,4,4,4,4,4,4,4,4,4,78.94637298583984,77.8315200805664,77.35466003417969,77.7519760131836,70.88801574707031,79.6153793334961,82.90625,20,30.000001907348633,5.263157844543457,42.105262756347656,20,10,88.8888931274414,52.6315803527832,83.33332824707031,0,16.24184226989746,25769803776,2147483648,14451490816,534773760
204,1790355898177,4,4,4,4,4,4,4,4,4,4,78.94637298583984,77.8315200805664,77.35466003417969,77.7519760131836,70.88801574707031,79.6153793334961,82.90625,15.789472579956055,42.105262756347656,25,20,9.523809432983398,15.789472579956055,88.8888931274414,55,89.47368621826172,0,16.24184226989746,25769803776,2147483648,14509785088,534773760
