Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1790356583430,4,4,4,4,4,4,4,4,4,4,77.29020690917969,76.04537963867188,75.75263977050781,75.99201965332031,69.07203674316406,77.50309753417969,78.796875,50,0,0,0,0,0,100,100,NaN,0,14.164579391479492,25769803776,2147483648,14122106880,534773760
209,1790356583430,4,4,4,4,4,4,4,4,4,4,77.29020690917969,76.04537963867188,75.75263977050781,75.99201965332031,69.07203674316406,77.50309753417969,78.796875,100,0,0,0,0,0,100,NaN,100,100,14.164579391479492,25769803776,2147483648,14122467328,534773760
209,1790356583640,4,4,4,4,4,4,4,4,4,4,77.29020690917969,76.04537963867188,75.75263977050781,75.99201965332031,69.07203674316406,77.50309753417969,78.796875,16.666667938232422,9.523809432983398,9.090909004211426,4.761904716491699,0,0,85,90,85.71428680419922,84.21052551269531,14.164579391479492,25769803776,2147483648,14230929408,534773760
209,1790356583850,4,4,4,4,4,4,4,4,4,4,77.29020690917969,76.04537963867188,75.75263977050781,75.99201965332031,69.07203674316406,77.50309753417969,78.796875,5.882352828979492,4.761904716491699,0,0,0,0,94.44444274902344,89.47368621826172,89.47368621826172,90,14.009269714355469,25769803776,2147483648,14273200128,534773760
209,1790356584060,4,4,4,4,4,4,4,4,4,4,77.29020690917969,76.04537963867188,75.75263977050781,75.99201965332031,69.07203674316406,77.50309753417969,78.796875,10.526315689086914,0,0,0,0,0,90,84.21052551269531,90,89.47368621826172,14.009269714355469,25769803776,2147483648,14278754304,534773760
205,1790356584270,4,4,4,4,4,4,4,4,4,4,77.29020690917969,76.04537963867188,75.75263977050781,75.99201965332031,69.07203674316406,77.50309753417969,78.796875,5.882352828979492,4.761904716491699,0,0,0,0,94.73684692382813,85,83.33332824707031,84.21052551269531,14.009269714355469,25769803776,2147483648,14278754304,534773760
208,1790356584476,4,4,4,4,4,4,4,4,4,4,78.14220428466797,77.85636901855469,77.64797973632813,77.49571228027344,71.58786010742188,79.21656799316406,82.5625,5.882352828979492,0,0,0,0,0,100,88.8888931274414,89.47368621826172,84.21052551269531,14.009269714355469,25769803776,2147483648,14278754304,534773760
206,1790356584685,4,4,4,4,4,4,4,4,4,4,78.14220428466797,77.85636901855469,77.64797973632813,77.49571228027344,71.58786010742188,79.21656799316406,82.5625,9.523809432983398,5,0,0,9.090909004211426,8.69565200805664,80,78.94737243652344,68.42105102539063,60.000003814697266,14.009269714355469,25769803776,2147483648,14597586944,534773760
208,1790356584892,4,4,4,4,4,4,4,4,4,4,78.14220428466797,77.85636901855469,77.64797973632813,77.49571228027344,71.58786010742188,79.21656799316406,82.5625,95,42.85714340209961,42.85714340209961,42.85714340209961,40,42.105262756347656,77.77777862548828,73.68421173095703,68.42105102539063,57.894737243652344,9.115888595581055,25769803776,2147483648,14620098560,534773760
209,1790356585101,4,4,4,4,4,4,4,4,4,4,78.14220428466797,77.85636901855469,77.64797973632813,77.49571228027344,71.58786010742188,79.21656799316406,82.5625,19.047618865966797,19.047618865966797,30.000001907348633,40,4.761904716491699,0,78.94737243652344,73.68421173095703,68.42105102539063,52.6315803527832,9.115888595581055,25769803776,2147483648,14619967488,534773760
209,1790356585311,4,4,4,4,4,4,4,4,4,4,80.25814819335938,78.9190673828125,78.76854705810547,79.07039642333984,72.62285614013672,81.14300537109375,83.5,50,14.285715103149414,9.523809432983398,0,33.333335876464844,0,78.94737243652344,75,68.42105102539063,52.6315803527832,9.115888595581055,25769803776,2147483648,14619967488,534773760
199,1790356585521,4,4,4,4,4,4,4,4,4,4,80.25814819335938,78.9190673828125,78.76854705810547,79.07039642333984,72.62285614013672,81.14300537109375,83.5,28.571430206298828,4.761904716491699,68.18181610107422,4.545454502105713,0,0,75,72.22222137451172,68.42105102539063,50,9.115888595581055,25769803776,2147483648,14619967488,534773760
207,1790356585722,4,4,4,4,4,4,4,4,4,4,80.25814819335938,78.9190673828125,78.76854705810547,79.07039642333984,72.62285614013672,81.14300537109375,83.5,0,57.142860412597656,0,47.36842346191406,0,4.761904716491699,77.77777862548828,73.68421173095703,63.15789031982422,50,9.115888595581055,25769803776,2147483648,14571143168,534773760
199,1790356585930,4,4,4,4,4,4,4,4,4,4,80.25814819335938,78.9190673828125,78.76854705810547,79.07039642333984,72.62285614013672,81.14300537109375,83.5,76.19047546386719,0,0,27.272727966308594,0,0,77.77777862548828,73.68421173095703,68.42105102539063,47.36842346191406,13.757587432861328,25769803776,2147483648,14583267328,534773760
209,1790356586130,4,4,4,4,4,4,4,4,4,4,80.25814819335938,78.9190673828125,78.76854705810547,79.07039642333984,72.62285614013672,81.14300537109375,83.5,5,0,4.761904716491699,5.263157844543457,90,0,78.94737243652344,73.68421173095703,66.66667175292969,52.6315803527832,13.757587432861328,25769803776,2147483648,14583267328,534773760
209,1790356586340,4,4,4,4,4,4,4,4,4,4,80.7588119506836,79.28938293457031,79.08438110351563,79.30363464355469,72.79817199707031,81.54551696777344,82.09375,40,4.545454502105713,0,54.54545593261719,4.761904716491699,0,78.94737243652344,72.22222137451172,68.42105102539063,52.6315803527832,13.757587432861328,25769803776,2147483648,14583267328,534773760
207,1790356586550,4,4,4,4,4,4,4,4,4,4,80.7588119506836,79.28938293457031,79.08438110351563,79.30363464355469,72.79817199707031,81.54551696777344,82.09375,66.66667175292969,0,4.545454502105713,4.761904716491699,35,0,78.94737243652344,78.94737243652344,68.42105102539063,47.36842346191406,13.757587432861328,25769803776,2147483648,14583267328,534773760
209,1790356586758,4,4,4,4,4,4,4,4,4,4,80.7588119506836,79.28938293457031,79.08438110351563,79.30363464355469,72.79817199707031,81.54551696777344,82.09375,4.761904716491699,0,0,0,100,0,78.94737243652344,75,63.15789031982422,50,13.757587432861328,25769803776,2147483648,14629519360,534773760
205,1790356586968,4,4,4,4,4,4,4,4,4,4,80.7588119506836,79.28938293457031,79.08438110351563,79.30363464355469,72.79817199707031,81.54551696777344,82.09375,40.90909194946289,33.333335876464844,15.000000953674316,50,28.571430206298828,14.285715103149414,78.94737243652344,73.68421173095703,73.68421173095703,52.6315803527832,17.082805633544922,25769803776,2147483648,14657208320,534773760
201,1790356587174,4,4,4,4,4,4,4,4,4,4,80.7588119506836,79.28938293457031,79.08438110351563,79.30363464355469,72.79817199707031,81.54551696777344,82.09375,21.052631378173828,40,72.7272720336914,25,10,25,78.94737243652344,73.68421173095703,65,52.6315803527832,17.082805633544922,25769803776,2147483648,14682046464,534773760
201,1790356587376,4,4,4,4,4,4,4,4,4,4,79.19867706298828,78.45015716552734,78.08566284179688,78.3260269165039,71.84479522705078,80.23639678955078,80.671875,45,19.047618865966797,10,14.285715103149414,31.81818199157715,52.38095474243164,78.94737243652344,77.77777862548828,70.5882339477539,52.94117736816406,17.082805633544922,25769803776,2147483648,14684307456,534773760
201,1790356587578,4,4,4,4,4,4,4,4,4,4,79.19867706298828,78.45015716552734,78.08566284179688,78.3260269165039,71.84479522705078,80.23639678955078,80.671875,61.904762268066406,5,5,25,0,15.000000953674316,77.77777862548828,72.22222137451172,68.42105102539063,47.36842346191406,17.082805633544922,25769803776,2147483648,14704197632,534773760
205,1790356587780,4,4,4,4,4,4,4,4,4,4,79.19867706298828,78.45015716552734,78.08566284179688,78.3260269165039,71.84479522705078,80.23639678955078,80.671875,5,40,5,65,0,0,78.94737243652344,78.94737243652344,68.42105102539063,50,17.082805633544922,25769803776,2147483648,14715551744,534773760
209,1790356587986,4,4,4,4,4,4,4,4,4,4,79.19867706298828,78.45015716552734,78.08566284179688,78.3260269165039,71.84479522705078,80.23639678955078,80.671875,25,90,15.000000953674316,20,14.285715103149414,15.000000953674316,83.33332824707031,72.22222137451172,70.5882339477539,55,13.82614517211914,25769803776,2147483648,14741389312,534773760
206,1790356588195,4,4,4,4,4,4,4,4,4,4,79.19867706298828,78.45015716552734,78.08566284179688,78.3260269165039,71.84479522705078,80.23639678955078,80.671875,14.285715103149414,52.38095474243164,40.90909194946289,23.809524536132813,14.285715103149414,4.761904716491699,77.77777862548828,78.94737243652344,68.42105102539063,50,13.82614517211914,25769803776,2147483648,14742519808,534773760
209,1790356588402,4,4,4,4,4,4,4,4,4,4,78.80187225341797,77.65929412841797,77.17530822753906,77.7093505859375,70.64573669433594,79.61483001708984,80.796875,38.095237731933594,50,35,38.095237731933594,15.000000953674316,13.636363983154297,80,68.42105102539063,71.42857360839844,42.105262756347656,13.82614517211914,25769803776,2147483648,14754742272,534773760
201,1790356588612,4,4,4,4,4,4,4,4,4,4,78.80187225341797,77.65929412841797,77.17530822753906,77.7093505859375,70.64573669433594,79.61483001708984,80.796875,65,31.81818199157715,5,0,13.636363983154297,0,84.21052551269531,68.42105102539063,72.22222137451172,45,13.82614517211914,25769803776,2147483648,14773551104,534773760
209,1790356588814,4,4,4,4,4,4,4,4,4,4,78.80187225341797,77.65929412841797,77.17530822753906,77.7093505859375,70.64573669433594,79.61483001708984,80.796875,42.85714340209961,5.263157844543457,4.761904716491699,4.761904716491699,55,0,78.94737243652344,68.42105102539063,68.42105102539063,42.105262756347656,16.59749412536621,25769803776,2147483648,14768226304,534773760
209,1790356589024,4,4,4,4,4,4,4,4,4,4,78.80187225341797,77.65929412841797,77.17530822753906,77.7093505859375,70.64573669433594,79.61483001708984,80.796875,70,23.809524536132813,15.000000953674316,5,15.000000953674316,4.761904716491699,83.33332824707031,78.94737243652344,83.33332824707031,14.285715103149414,16.59749412536621,25769803776,2147483648,14873591808,534773760
204,1790356589234,4,4,4,4,4,4,4,4,4,4,78.80187225341797,77.65929412841797,77.17530822753906,77.7093505859375,70.64573669433594,79.61483001708984,80.796875,16.666667938232422,10,9.523809432983398,9.523809432983398,4.761904716491699,5,89.47368621826172,78.94737243652344,75,0,16.59749412536621,25769803776,2147483648,14896971776,534773760
